2025-05-15T22:14:06.9106534 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:14:27.4600771 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:14:27.4634473 | User: admin | Action: Viewed Report Stats
2025-05-15T22:14:48.0540496 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:14:48.0540496 | User: admin | Action: Viewed Report Stats
2025-05-15T22:15:00.5146858 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:15:32.1634007 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:15:32.1634007 | User: admin | Action: Viewed Report Stats
2025-05-15T22:15:38.1210965 | User: admin | Action: Viewed Expiring Soon Items List
2025-05-15T22:15:41.4073496 | User: admin | Action: Viewed Expired Items List for Report
2025-05-15T22:15:43.4358421 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:15:50.7024008 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:19:43.5649333 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:19:43.5649333 | User: admin | Action: Viewed Report Stats
2025-05-15T22:19:56.0687402 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:26:00.0815451 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:26:08.2382494 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:26:08.2393143 | User: admin | Action: Viewed Report Stats
2025-05-15T22:27:32.6473659 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:28:08.5744924 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:28:17.0536632 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:28:47.9166976 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:29:00.414817 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:29:00.414817 | User: admin | Action: Viewed Report Stats
2025-05-15T22:29:08.6812918 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:29:08.6812918 | User: admin | Action: Viewed Report Stats
2025-05-15T22:29:12.2072955 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:29:26.0896828 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:29:26.090483 | User: admin | Action: Viewed Report Stats
2025-05-15T22:31:38.9555575 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:31:44.6867321 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:31:44.6879981 | User: admin | Action: Viewed Report Stats
2025-05-15T22:31:48.2746333 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:31:48.2764367 | User: admin | Action: Viewed Report Stats
2025-05-15T22:32:18.0850163 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:32:40.547293 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:32:40.547293 | User: admin | Action: Viewed Report Stats
2025-05-15T22:32:42.97395 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:32:48.0519222 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:32:48.0529948 | User: admin | Action: Viewed Report Stats
2025-05-15T22:32:50.6365378 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:35:59.7447858 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:36:04.5960996 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:36:04.5966804 | User: admin | Action: Viewed Report Stats
2025-05-15T22:36:09.3188333 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:39:17.9193307 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:39:22.7105109 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:39:22.7125178 | User: admin | Action: Viewed Report Stats
2025-05-15T22:39:30.8950798 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:39:53.9621184 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:40:43.8181243 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:40:48.6591023 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:40:48.6603985 | User: admin | Action: Viewed Report Stats
2025-05-15T22:40:57.1228549 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:40:57.1233614 | User: admin | Action: Viewed Report Stats
2025-05-15T22:40:59.504256 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:41:20.7052808 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:41:24.2408902 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:41:24.2418917 | User: admin | Action: Viewed Report Stats
2025-05-15T22:41:58.4131184 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:42:00.7198349 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:42:00.7208337 | User: admin | Action: Viewed Report Stats
2025-05-15T22:45:32.7312921 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:45:44.9766679 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:46:16.8369768 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:47:58.5403533 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:48:04.5946093 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:48:04.5979364 | User: admin | Action: Viewed Report Stats
2025-05-15T22:48:08.3925506 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:48:26.2230259 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:49:56.4979957 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:50:00.4718749 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:50:00.4728757 | User: admin | Action: Viewed Report Stats
2025-05-15T22:50:03.7490846 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:50:08.5252692 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:50:08.5265138 | User: admin | Action: Viewed Report Stats
2025-05-15T22:51:01.4452871 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:51:14.6153086 | User: admin | Action: Viewed Low Stock Items List
2025-05-15T22:51:14.6163114 | User: admin | Action: Viewed Report Stats
2025-05-15T22:51:16.8703679 | User: admin | Action: Viewed Dashboard Stats
2025-05-15T22:51:36.1212949 | User: admin | Action: Viewed Dashboard Stats
2025-05-16T11:57:51.3332003 | User: admin | Action: Viewed Dashboard Stats
2025-05-16T11:57:59.1277298 | User: admin | Action: Viewed Low Stock Items List
2025-05-16T11:57:59.129371 | User: admin | Action: Viewed Report Stats
2025-05-16T11:58:07.1061942 | User: admin | Action: Viewed Dashboard Stats
2025-05-16T12:02:10.9358969 | User: admin | Action: Viewed Dashboard Stats
2025-05-16T12:02:19.2154924 | User: admin | Action: Viewed Low Stock Items List
2025-05-16T12:02:19.2154924 | User: admin | Action: Viewed Report Stats
2025-05-16T12:02:23.3291722 | User: admin | Action: Viewed Dashboard Stats
2025-05-16T12:02:30.4334579 | User: admin | Action: Viewed Low Stock Items List
2025-05-16T12:02:30.4354714 | User: admin | Action: Viewed Report Stats
2025-05-16T12:02:38.1716913 | User: admin | Action: Viewed Dashboard Stats
2025-05-16T12:04:06.0458608 | User: admin | Action: Viewed Low Stock Items List
2025-05-16T12:04:06.0480196 | User: admin | Action: Viewed Report Stats
2025-05-16T12:05:19.9064366 | User: admin | Action: Viewed Dashboard Stats
2025-05-16T15:12:51.242171 | User: admin | Action: Viewed Dashboard Stats
2025-05-16T15:12:58.509629 | User: admin | Action: Viewed Low Stock Items List
2025-05-16T15:12:58.5124985 | User: admin | Action: Viewed Report Stats
2025-05-16T15:13:06.4440494 | User: admin | Action: Viewed Dashboard Stats
2025-05-16T19:32:54.106188 | User: admin | Action: Viewed Dashboard Stats
2025-05-16T19:33:02.9074956 | User: admin | Action: Viewed Low Stock Items List
2025-05-16T19:33:02.9129769 | User: admin | Action: Viewed Report Stats
2025-05-16T19:33:24.3121084 | User: admin | Action: Viewed Dashboard Stats
2025-05-16T19:34:45.4485546 | User: admin | Action: Viewed Low Stock Items List
2025-05-16T19:34:45.4485546 | User: admin | Action: Viewed Report Stats
2025-05-16T19:35:05.6652861 | User: admin | Action: Viewed Dashboard Stats
2025-05-17T14:52:40.9312242 | User: admin | Action: Viewed Dashboard Stats
2025-05-18T16:11:26.0211757 | User: admin | Action: Viewed Dashboard Stats
2025-05-18T16:13:58.9162373 | User: admin | Action: Viewed Low Stock Items List
2025-05-18T16:13:58.9172365 | User: admin | Action: Viewed Report Stats
2025-05-18T16:14:05.7596165 | User: admin | Action: Viewed Expired Items List for Report
2025-05-18T16:14:07.720254 | User: admin | Action: Viewed Expiring Soon Items List
2025-05-18T16:14:09.8258218 | User: admin | Action: Viewed Low Stock Items List
2025-05-18T16:14:14.2228853 | User: admin | Action: Viewed Expired Items List for Report
2025-05-18T16:14:23.7518147 | User: admin | Action: Viewed Low Stock Items List
2025-05-18T16:14:23.7518147 | User: admin | Action: Viewed Report Stats
2025-05-18T16:14:29.8531821 | User: admin | Action: Viewed Dashboard Stats
2025-05-18T18:12:32.3157183 | User: admin | Action: Viewed Dashboard Stats
2025-05-18T18:12:37.7319057 | User: admin | Action: Viewed Low Stock Items List
2025-05-18T18:12:37.7339165 | User: admin | Action: Viewed Report Stats
2025-05-18T18:12:43.4963522 | User: admin | Action: Viewed Dashboard Stats
2025-05-18T18:13:20.0051093 | User: admin | Action: Viewed Dashboard Stats
2025-05-19T13:09:24.1440947 | User: admin | Action: Viewed Dashboard Stats
2025-05-19T13:09:28.7235428 | User: admin | Action: Viewed Low Stock Items List
2025-05-19T13:09:28.7248918 | User: admin | Action: Viewed Report Stats
2025-05-19T13:09:34.1796153 | User: admin | Action: Viewed Dashboard Stats
2025-05-19T13:09:35.8012405 | User: admin | Action: Viewed Low Stock Items List
2025-05-19T13:09:35.80497 | User: admin | Action: Viewed Report Stats
2025-05-19T13:09:40.8444189 | User: admin | Action: Deleted 1 expired items.
2025-05-19T13:09:40.86795 | User: admin | Action: Viewed Low Stock Items List
2025-05-19T13:09:40.8860154 | User: admin | Action: Viewed Report Stats
2025-05-19T13:13:28.164967 | User: admin | Action: Generated Low Stock Report: low_stock_20250519_131328.txt
2025-05-19T13:13:35.5110519 | User: admin | Action: Viewed Expiring Soon Items List
2025-05-19T13:13:36.8694402 | User: admin | Action: Viewed Expired Items List for Report
2025-05-19T13:13:38.3622852 | User: admin | Action: Generated Expiring Soon Report: expiring_soon_20250519_131338.txt
2025-05-20T23:17:08.3971001 | User: admin | Action: Viewed Dashboard Stats
